급식일자,요일,급식인원수,요리명,칼로리정보(Kcal),탄수화물(g),단백질(g),지방(g),비타민A(R.E),티아민(mg),리보플라빈(mg),비타민C(mg),칼슘(mg),철분(mg)
2025-08-01,금,960,"보리밥 ,쇠고기미역국 ,콩나물무침 ,목살매콤구이 ,배추김치 ,요거트아이스크림 ",733.3,116.8,38.1,12,335.2,0.6,0.8,30.5,217.8,4.2
2025-08-04,월,960,"완두콩밥 ,황태순두부맑은국 ,메추리알감자조림 ,돼지갈비맛구이 ,배추김치 ,레어치즈푸딩 ",991.6,107.2,51.5,37,174.1,1.4,0.7,11.6,219.1,4.4
2025-08-05,화,960,"차조밥 ,딸기잼샌드위치 ,한우돼지국밥 ,아귀찜 ,소떡소떡구이 ,열무김치 ",1166.9,162.3,55.6,30.9,76.6,0.4,0.3,4.4,182.5,3.6
2025-08-06,수,960,"계란야채볶음밥 ,자장면 ,짬뽕국 ,단무지무침 ,찹쌀등심꿔바로우 ,밀크티라떼 ",904.3,133.5,34.9,26.4,116.7,0.6,0.6,42.4,192.9,10.5
2025-08-07,목,960,"잡곡밥 ,우렁된장찌개 ,마라찜닭 ,콘샐러드 ,총각김치 ,아이스레드피치 ",878.8,130.2,39.5,20.7,129.1,0.6,0.4,28.2,220,3.2
2025-08-08,금,960,"옥수수밥 ,닭개장 ,코다리강정 ,칼집비엔나구이 ,파김치 ,참외 ,허니버터아몬드 ",985.3,95,89.2,25.9,107.6,0.6,0.8,38.4,415.9,5.3
2025-08-11,월,960,"보리밥 ,콘치즈피자 ,팽이버섯된장국 ,채식숯불갈비만두 ,오징어쫄면볶음 ,배추김치 ",825.2,134.2,39.3,12.3,72.2,0.5,0.4,7.2,263.7,2.5
2025-08-12,화,960,"잡곡밥 ,쇠고기무국 ,마파두부 ,치즈크래커치킨 ,깍두기 ,유기농사과주스 ",777.5,84.4,46,26.1,86.3,0.6,0.4,40.9,152.6,3.5
2025-08-13,수,960,"문어솥밥 ,옛날핫도그*케찹 ,콩나물국 ,짬뽕군만두 ,열무김치 ,양념장 ",607.7,90.3,29.7,12.7,54.1,0.3,0.4,9.6,237.9,2.9
2025-08-14,목,960,"김치치즈주먹밥 ,밀면 ,미소된장국 ,소고기육전 ,배추김치 ,샤인머스켓아이스 ",720.3,121.9,22,16.4,135.3,0.5,0.8,8.6,180.2,9
